标题,详情页链接,时间,正文
定了!核酸检测价格有调整,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7003482360138170917%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7b5e5be755de414af0feff73936e4682bfd3477791f3838fb4b14ea88824e486fce7b865da19915ea866392883ff982db,2021/09/03,"关于调整新型冠状病毒核酸
检测项目价格的通知
各盟市医疗保障局卫生健康委，满洲里市二连浩特市医疗保障局卫生健康委
为进一步做好新冠肺炎疫情常态化防控工作，减轻群众医疗费用负担，经研究，决定调整新型冠状病毒核酸检测项目价格政策，现将有关事项通知如下
一将全区新冠病毒核酸人检测项目价格调整为元人次，收费标准包含相关耗材提取试剂等费用。合混采检测混检测继续执行元人次和元人次的收费标准。其它政策仍按关于完善新型冠状病毒核酸检测有关政策的通知内医保办发号执行。
二医疗机构应严格按照规定提供服务并收取费用，规范自身价格行为，及时做好信息系统更新维护和价格公示等相关工作，自觉接受社会监督。
三各医疗保障卫生健康部门要加强对医疗机构新型冠状病毒检测项目价格执行情况的监管，对医疗机构网外采购擅自扩大收费范围和提高收费标准等行为，依据有关规定严肃处理。
本通知自年月日起执行。
附件新型冠状病毒核酸检测项目价格表
综合内蒙古自治区医疗保障局内蒙古自治区卫生健康委员会
声明转载请注明来源于内蒙古日报官方微信
来源内蒙古日报"
定了!核酸检测价格有调整,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7003482360138170917%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7b5e5be755de414af0feff73936e4682bfd3477791f3838fb4b14ea88824e486fce7b865da19915ea866392883ff982db,,"关于调整新型冠状病毒核酸
检测项目价格的通知
各盟市医疗保障局卫生健康委，满洲里市二连浩特市医疗保障局卫生健康委
为进一步做好新冠肺炎疫情常态化防控工作，减轻群众医疗费用负担，经研究，决定调整新型冠状病毒核酸检测项目价格政策，现将有关事项通知如下
一将全区新冠病毒核酸人检测项目价格调整为元人次，收费标准包含相关耗材提取试剂等费用。合混采检测混检测继续执行元人次和元人次的收费标准。其它政策仍按关于完善新型冠状病毒核酸检测有关政策的通知内医保办发号执行。
二医疗机构应严格按照规定提供服务并收取费用，规范自身价格行为，及时做好信息系统更新维护和价格公示等相关工作，自觉接受社会监督。
三各医疗保障卫生健康部门要加强对医疗机构新型冠状病毒检测项目价格执行情况的监管，对医疗机构网外采购擅自扩大收费范围和提高收费标准等行为，依据有关规定严肃处理。
本通知自年月日起执行。
附件新型冠状病毒核酸检测项目价格表
综合内蒙古自治区医疗保障局内蒙古自治区卫生健康委员会
声明转载请注明来源于内蒙古日报官方微信
来源内蒙古日报
关于调整新型冠状病毒核酸
检测项目价格的通知
各盟市医疗保障局卫生健康委，满洲里市二连浩特市医疗保障局卫生健康委
为进一步做好新冠肺炎疫情常态化防控工作，减轻群众医疗费用负担，经研究，决定调整新型冠状病毒核酸检测项目价格政策，现将有关事项通知如下
一将全区新冠病毒核酸人检测项目价格调整为元人次，收费标准包含相关耗材提取试剂等费用。合混采检测混检测继续执行元人次和元人次的收费标准。其它政策仍按关于完善新型冠状病毒核酸检测有关政策的通知内医保办发号执行。
二医疗机构应严格按照规定提供服务并收取费用，规范自身价格行为，及时做好信息系统更新维护和价格公示等相关工作，自觉接受社会监督。
三各医疗保障卫生健康部门要加强对医疗机构新型冠状病毒检测项目价格执行情况的监管，对医疗机构网外采购擅自扩大收费范围和提高收费标准等行为，依据有关规定严肃处理。
本通知自年月日起执行。
附件新型冠状病毒核酸检测项目价格表
综合内蒙古自治区医疗保障局内蒙古自治区卫生健康委员会
声明转载请注明来源于内蒙古日报官方微信
来源内蒙古日报"
做核酸检测怎么查询检测结果?需注意什么?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6991779021650559525%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e78c833b6312860ed532a474365045c0127136c639ae696980a0215fac24ae4ef7665171fcd348ed7e9c9aa00909965efc,2021/08/02,"来源河南广电映象网
目前郑州市全员核酸检测正在紧张有序地进行，月日起，市民可查询本次核酸检测结果核酸检测结果展示具有一定延迟，若您未查询到检测结果，请安心等待。
登录郑好办，点击首页核酸检测结果查询进行查询。
通过支付宝查看核酸检测结果方法
打开支付宝，点击更多
选择城市服务
点击核酸检测查询
输入自己的信息，点击查自己，就可以查询自己的核酸检测结果，还可以帮家人查询
以上就是支付宝查看核酸检测结果方法。
那做核酸检测前要注意什么呢？做核酸检测有何注意事项？
为避免出现呕吐情况，采样前小时请勿进食为避免影响检测结果，采样前分钟请勿吸烟喝酒或嚼口香糖
为减低到院交叉感染风险，所有到院检测者需戴口罩和准备一个备用口罩，排队时最好能保持米以上的安全距离。
检测时，请携带身份证，主动出示苏康码采集后立即离开采集点，避免在采集点周围吐痰呕吐。
另外要注意正确佩戴口罩，不要把口鼻露出来，不要在中途随意取下，或将口罩拉到下巴处。去往核酸检测的路上，也要戴好口罩，尽量不要乘坐公共交通工具。
核酸检测报告什么时候出来？
通常检测结果将在小时内可查询。如果未能查询到检测结果，请耐心等待。由于近日核酸检测工作量较大，数据上传可能稍有延迟。
核酸检测会不会影响健康？
对身体没有影响，只是取少量的咽和扁桃体分泌物标本。
专家提醒高温天排队核酸检测要谨防中暑！
预防中暑做到这几点
科学饮水，合理饮食及时补充水盐分和矿物质，不应等到口渴才喝水，少量多次，不饮用含酒精或大量糖分的饮料。早晚可以食用一些防暑粥，如绿豆粥银花粥薄荷粥莲子粥赤豆粥冬瓜粥荷叶粥等。
注意饮食及休息摄取足够的碳水化合物，补充蛋白质维生素和钙。当气温达到时，应尽量在凉爽的室内活动。
计划行程，准备防晒用品避开正午时段外出，选择轻薄浅色的服装遮阳帽太阳镜太阳伞防晒霜等。
怎么知道中暑了，有什么症状可帮助判断吗？
其实，中暑是有先兆的，若在高温环境下出现出汗口渴头晕眼花耳鸣四肢无力胸闷心悸恶心注意力不集中体温正常或略升高
年老体弱多病者儿童和孕妇是一些中暑的高危人群，出现上述症状更要警惕，马上做好防暑降温，移步至阴凉通风处，及时喝水，注意休息，如果症状没有缓解，建议及时就医。
万一发现有人中暑，急救五招很重要！
一般情况下，先兆中暑和轻度中暑的病人经过现场救护可以恢复正常，所以遇到中暑不要过于慌张，掌握以下急救方法
一移迅速将患者搬到阴凉通风的地方，使其平躺，用扇子电扇为他扇风或开空调，解开或脱去外衣，以利患者呼吸和散热。
二敷头部先用温水敷，后改为用冷水冰水敷。
三饮饮用含盐饮料，及时补充身体所需的水分，同时补充部分无机盐。
四擦因高温高湿无风，身体散热困难时，可用冷水或冰水擦浴至皮肤发红。
五降当中暑者体温高达以上，出现昏迷抽搐等症状时，尤其是热射病患者的救治，要遵循个原则快速有效持续降温迅速补充液体时，要静脉补液控制躁动和抽搐。同时拨打，尽快把患者送到医院急诊科就诊。
综合河南日报新浪科技新华日报
责编王江龙
本文来自河南广电映象网，仅代表作者观点。全国党媒信息公共平台提供信息发布传播服务。
ID：jrtt"
核酸检测为什么要采口鼻，不能采耳?疾控专家告诉你原因,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6995070219152523812%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e70fdc795b193f16ca208bed13e213fab44149479d7a2f1cd56beb0a71035c4bbfdac89ce8ac88cfd40030441c5fc9baed,2021/08/11,"来源红网
自疫情发生以来，长沙市民积极配合抗疫工作，一些市民经历了几番核酸采样检测后，提出灵魂发问咽拭子做得想吐，鼻拭子更加酸爽，为什么不能采耳，要采口鼻啊？
采耳当然属于开玩笑的说法，除了能采集出一堆耵聍俗称耳屎，对于新冠病毒的检测是没有任何意义的。而采集口咽拭子与鼻咽拭子相比，不适度和心理恐惧感还是大有不同。针对一些市民朋友比较关心的问题如为什么有些人群要求采集鼻咽拭子，而有些人群可以采口咽拭子？长沙疾控专家为您权威解答。
采集鼻咽拭子和口咽拭子时均有不同程度的不适感，请问还有其他舒适的采样部位可以选择吗？
目前新冠病毒核酸检测主要采集以下样本
鼻咽拭子。
口咽拭子。
深咳痰液。
鼻咽或呼吸道抽取物。
支气管灌洗液。
肺泡灌洗液。
除了一些特殊情况外，鼻咽拭子和口咽拭子是最常见的采集样本。
为什么有的人是采鼻咽拭子，有的人是采口咽拭子，可以呷点菜吗？
根据第八版防控方案和第二版新冠病毒核酸检测工作手册，要求优先采集鼻咽拭子，无法采集鼻咽拭子时采集口咽拭子。
无症状感染者入境人员密切接触者在隔离观察期间应采集鼻咽拭子进行核酸检测。
低风险地区开展核酸检测时，多采取采集口咽拭子的方式。
鼻咽拭子
口咽拭子
鼻子和口腔同样是呼吸道器官，为什么要优先采鼻咽拭子呢？鼻咽拭子相对于口咽拭子有什么优势？
研究显示鼻咽拭子比口咽拭子的新冠病毒核酸检出率更高，因为鼻咽腔相对封闭，病毒更容易富集。但是不管是口咽拭子还是鼻咽拭子，最关键的是采集动作一定要规范到位，符合标准。只要规范采集，两种方法均能达到预期检测目的。
如果患有如鼻炎等鼻部疾病，可以采集口咽拭子吗？
如有以下相关病史和危险因素，应采集口咽拭子。
重度过敏性鼻炎患者
鼻腔内畸形者，如鼻中隔弯曲等
近期有鼻腔出血症状者
做完鼻腔手术不超过个月者
有血液病或长期服用抗凝类药物。
采集口咽拭子前要注意什么？
采集口咽拭子前小时尽量避免进食，以免发生刺激性呕吐采样前分钟不应吸烟饮酒嚼口香糖等，以免频繁吞咽影响咽喉部病毒富集，影响检测结果。
近期，部分地区出现了在核酸检测时因防护不当而感染新冠病毒的案例，因此，长沙疾控专家再次提醒广大市民，在做核酸检测时，一定要注意以下十条
去采样点时，请全程规范佩戴口罩，并携带适量湿巾酒精湿巾或普通湿巾均可备用口罩身份证手机等
最好乘坐私家车或骑行步行特别是中高风险区
听从现场工作人员的指挥和引导，分区排队等候
排队时请勿拥挤，保持安全距离
遵守咳嗽礼仪，即当咳嗽或打喷嚏时，用纸巾或手绢捂住口鼻部，以防止病菌扩散，如来不及取纸巾或手绢，可用衣服袖管上部内侧遮掩口鼻，切忌用双手直接捂住口鼻用过的纸巾直接丢入垃圾箱内，咳嗽或打喷嚏后立即洗手或用湿巾擦手，切忌对着他人咳嗽打喷嚏
在等候时，请勿和他人聚堆聊天请勿大声说话，以防口水四溅
手不要随意触摸公共物品，如触摸，请在触摸后及时洗手或使用湿巾擦手
为避免口咽拭子采样时刺激发生呕吐，采样前小时请勿进食为避免影响检测结果，采样前分钟请勿吸烟喝酒或嚼口香糖
采样后换戴备用口罩，将废弃口罩投入指定垃圾桶内，立即离开采样点，避免在采集点周围吐痰逗留
回到家后，请立即洗手，必要时使用湿巾对手机身份证等物品进行擦拭。
来源红网记者陈亚男刘丹"
核酸检测这些事应知道,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6912718889377858055%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e768008277e0f2eaebe9194f4b90f2812add73468a607ce0c789c3a859b6bcae70a98c2b2b2fa69d8d509a3b979838e881,2021/01/01,"开展全员核酸检测并不是说疫情现在有多严重，而是有利于全市精准防控维护市民健康，又有助于人员合理流动，及早发现感染者，降低病毒传播风险，判断疫情走向，最大程度地降低疫情对经济社会的影响。在昨日沈阳市举行的新冠肺炎疫情防控工作第十三场新闻发布会上，沈阳市疾病预防控制中心副主任王萍呼吁，人们应正确看待全面开展核酸检测的积极意义。
新型冠状病毒肺炎临床诊疗指南试行第八版中将新型冠状病毒核酸阳性作为诊断的病原学依据之一。昨日，沈阳发布号令，要求在市内九区开展全员核酸检测。对于大部分市民来说，这是第一次近距离接触核酸检测。做核酸检测会不会疼？核酸检测时需要注意哪些事项？就大家关心的问题，月日，沈阳市卫生健康服务中心副主任医师李涵接受记者采访，为大家进行详细介绍。
辽宁日报
为什么做核酸检测？
李涵
新型冠状病毒是一种病毒，病毒中特异性序列是区分该病毒与其它病原体的标志物。核酸检测其实就是通过检测荧光信号的累积来确定样本中否有病毒核酸。如果在患者样本中检测到新型冠状病毒的特异核酸序列，则提示该患者可能被新型冠状病毒感染。
辽宁日报
核酸检测怎么做？
李涵
新型冠状病毒核酸检测样本一般来自咽拭子。检测时，医生会用一个像棉签一样的拭子去擦拭扁桃体和咽隐窝附近的分泌物，也可以通过鼻腔取鼻咽后部的分泌物，然后放到试管里面，再交给检验部门做相应的病毒核酸的检查。经过取样留样保存核酸提取上机检测五个步骤，就完成了核酸检测过程。
辽宁日报
核酸检测需要注意哪些事项？
李涵
检测前注意事项核酸检测前小时尽量避免进食，以免引起呕吐
采样前分钟不应吸烟喝酒咀嚼口香糖等检测者需要正确佩戴口罩，检测前取下口罩检测后立即戴好，可准备一个备用口罩，污染后方便随时更换。
沈阳近期气温较低，因此在室外排队等待检测时一定注意保暖，避免不必要的外感风寒。
检测时注意事项
在采集鼻咽拭子前检测者应告知采集人员是否鼻中隔弯曲及鼻腔手术史，过程中可能出现鼻部酸痒感，刺激打喷嚏，可立即用纸巾或手肘遮挡鼻咽拭子采集后可能出现少量鼻腔出血，一般不需要特殊处理，如出血量较多请及时到医院进行处理。
在采集口咽拭子时检测者头后仰，张口发出啊音，有助于暴露咽喉，但过程中会出现刺激性干咳恶心呕吐等症状，检测者可配合采集人员尽量放松深呼吸核酸检测前后都需要注意手部卫生，可使用免洗手消毒液或免洗酒精擦拭双手。
检测后注意事项
正确佩戴一次性医用口罩。尽量不乘坐公共交通工具，建议步行骑行或保持办公区环境清洁，建议每日通风次，每次分钟，通风时注意保暖。人与人之间保持米以上距离，多人办公时佩戴口罩。保持勤洗手多饮水，坚持在进食前如厕后按照七步法严格洗手。接待外来人员双方佩戴口罩。
李涵提醒广大市民，有序排队，文明检测，用过的一次性口罩不要随意丢弃，应包好后丢入指定垃圾桶内。
来源辽宁日报北国新闻客户端
记者王敏娜
来源辽宁日报"
5步搞定!一图了解核酸检测全过程,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6818001392515416583%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e77602fe618059a197481f2998c7ef0a3dd556d44e2dd2b2133c86770b21832e924890cf94388a59e8e5a6a2aa0380e896,2020/04/21,"防疫科普步搞定！一图了解核酸检测全过程
来源光明网"
做核酸检测，请记牢这些注意事项,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6995445814222914078%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7e1d439e03957588d9829c60f1f9ebb3ee1b5e94cd5c27796938220973b759ebef6e4341ef77381f94140e8886fcef95f,2021/08/12,"央视网消息针对核酸检测点出现的疫情风险，国务院联防联控机制医疗救治组近日印发关于进一步加强全员核酸检测组织管理工作的通知，通知明确，规范有序开展全员核酸检测，以最快的速度将疫情控制在最小范围确保全员核酸检测时没有漏采人员，没有因现场人群聚集造成疫情传播。确定实施全员核酸检测后，要尽早尽快组织实施全员核酸检测实施方案，确保检测人数在万以内的在天内检测人数大于万的在天内完成全员检测。
核酸检测点何以发生交叉感染？
在扬州近期新增的本土病例中，不少病例与广陵区湾头镇联合村的一个核酸检测点有关。
先来看传播链。此前扬州官方公布的病例轨迹显示，导致联合村出现聚集性感染的中间传播者，是月日被确诊的扬州市第号病例广陵区湾头镇财务所工作人员王某。号病例王某此前居住在邗江区新城河路某宿舍，其确诊前的活动路径多为食堂饭店棋牌室等。在月日，王某曾在莱东苑棋牌室打牌，当天，确诊病例号也出现在该棋牌室。也就是说，核酸检测点交叉感染也源于棋牌室传播链的蔓延。据不完全统计，截至月日时，已有名王某的密接者被感染。在上述被感染者中，很多都曾至湾头镇联合村核酸采样点进行核酸采样。目前，该核酸检测点已出现三代传播。
那么，核酸检测点何以发生聚集性感染？通过江苏省扬州市纪委监委日发布的通报可得知。通报中提到，月日，广陵区湾头镇联合村核酸检测点设置不规范现场组织混乱，导致在该检测点与王某密切接触的多名人员被感染。王某已因严重违法被立案调查并停职广陵区湾头镇多位领导干部受到党内警告政务警告等处分。月日，广陵区湾头镇联合村也由中风险地区调整为高风险地区。
新闻提示前往核酸检测点需要注意啥？
前往核酸检测点采样检测，首先带好个人有效证件注意采样前分钟不应吸烟喝酒咀嚼口香糖等检测时检测者需要正确佩戴口罩，检测前取下口罩，检测后立即戴好等待检测时，请注意全程佩戴口罩，与他人保持米以上间距，不交谈，不聚集，听从现场工作人员指引，有序完成扫码登记采样等工作流程。如果是鼻咽拭子采集，可能出现少量鼻腔出血，一般不需要特殊处理，如出血量较多请及时到医院进行处理。最后提醒您，如果您当天接种新冠病毒疫苗，那么小时后方可进行核酸检测。
来源央视网"
做核酸检测需要注意哪些事项?你想知道的都在这里,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7005166873536889375%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e73f86108745d484cab93acfbd5ca385d14e1b9c3bebf6cfdce1172004179c108bb4887d0215a556c1fd85653e8187a3f6,2021/09/07,"开展新型冠状病毒核酸检测，对于实现科学防控精准防控意义重大。不仅能够精准及时的发现新冠病毒感染者，还可以降低传播风险，保护易感人群，对于坚决防止疫情扩散起到十分重要的作用。那么核酸检测采样前有哪些注意事项？一起来了解一下。
文字整理尚雯
图片制作吴思敏
来源山西日报"
核酸检测为什么要那么久才出结果?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6988656286149640734%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e796535b434ed2b934ac554b957fbed968f18ff5c7abf4e7b30e1eea98bc823c52df76d82c4561998a71c8d6133ce7e47e,2021/07/25,"宝，戴好口罩了吗？
宝，接种疫苗了吗？
宝，去测核酸了吗？
我这阵子都没睡好你知道吗？
每时每刻我都在刷新！
为什么我在社区做了
免费的核酸检测混检
这两天却无法在苏康码上
及时查询到最新的检测结果
我被一个检查结果
牵动的情绪真得很烦
但刷新出检测结果，就觉得很甜蜜
苏康码
我的核酸检测混检结果呢？
你为什么没有及时更新？
苏康码
你就对一个喜欢你关心你的人
就这么爱答不理吗？
看到这里
猜到小编今天要讲的话题了吧
想必这也是最近大家最关心的
每天都有人在后台提问
↓
面对这一连串发问
小编只想提醒大家莫慌
↓
因为
↓
哈哈开个玩笑了
现在要认真公布答案了！
你以为的核酸检测
排队采样给结果
！好像只需三步就可以啦。
由此引发了一堆问题
为什么核酸不能随到随检，不就往仪器上一丢就可以了吗？
我都采样了那么久，怎么还没有出结果？
但实际上的核酸检测，采样只是刚刚开始！实际核酸检测流程是
标本采集
首先是正确地采集标本，如果咽拭子采集不正确很可能会造成假阴性。采集完的标本要迅速放入样本保存管中，保存管内保存液同时还具有灭活病毒的作用。
标本转运
一般采样点和检测点不在一起，不可能采一个送一个，所以看看，这里就耽误时间啦。
有人说啦，那不能就在采样点进行检测吗？回答是核酸检测是极其灵敏且精密的实验，针对传染病病原的核酸检测需要在相应等级的生物安全实验室中进行，以防实验过程中发生病原感染等情况，不是随便开辟个地方就能检测的。至于专业要求，此处省略一万字
标本签收及录入
标本在严密包装下被护送到实验室后，再人工录入信息系统，在大量标本蜂拥而至的情况下，还必须零错误率，这需要时间。
这个步骤需要一个一个拆包装，而且是双层密封包装！不必说每个都需要喷洒酒精做好生物安全防护，更何况拆包装只是众多步骤中的一小步。
滴，条码录入就像在超市买东西结账一样，要把每一份标本的信息录入系统，不然怎么对接健康码。而且全手工，不比取样快多少，海量标本的情况下，还需要零错误率不然张冠李戴，或者录信息到最后发现少了或者对不上数，再找一遍？相信我，这事谁都不想，也绝对不允许发生的，毕竟医学是如此严肃的一件事。
提取核酸
不是标本到了实验室就能直接用于检测的，还需要对标本进行前处理灭活处理。经过灭活处理后，病毒基本就失去了感染力。然后，技术人员再将标本里面的核酸提取出来，才能进行扩增的。
那问题又来了，扩增是什么鬼？通俗来讲，如果把标本提取出来的核酸当做一块土地，把新冠病毒比喻成花生的话，那组成这块土地的元素就多啦，但是我只是想知道这块地里有没有花生，那就需要给他整点肥料啊水啊，让花生成长，一个变俩，俩变四个，四个变八个
这样就很容易知道这块地里有没有花生啦。虽然比喻不是很恰当，但病毒确是看不到的，而且微量标本也不容易检测到，所以要让它变多才方便检测出来。因为，如果本身没有花生，给再多肥料也长不出来花生。
仍旧是海量标本，一个个拧开盖子，一个个用加样枪吸取标本进行核酸提取。往生物安全柜前一坐，连续拧开千个盖子，戳上千个枪头吸取上千个标本，然后再打掉上千个枪头，拧上上千个盖子都是小，一顿操作下来真是酸爽得很呐。
配制试剂
完全零污染，严格精确操作，多少份标本就需要配置多少份试剂，需要多少份试管，又是几千个枪头的工作量而且全手工分装，还要做好保护，千万不要污染了万一掉点花生种子下去，你就会得到一个错误的结果本来土里没花生，却长出了一堆花生，毕竟指数倍增的力量是可怕的。
加样
仍然是全手工哦写到这里，忽然意识到，这绝对是奢侈品级别的艺术啊，净是手工，全程全神贯注，不能有丝毫干扰和分神！要不然，你会干着干着神马？加到哪个标本了？你一晃神不记得了，信不信自己都想给自己两巴掌，所有的一切都要重来一遍！
除了等待的小心心，还有成本呢，这个月不想吃饭了本来只有五块钱给你扯块布做衣服，你却做坏了还得再花五块钱，是吧？而且提取好的核酸只需要加入进入试剂体系进行扩增，什么概念？一滴水的十分之一大概滴水是，用极小的枪头也只能看到头上那一点点而且还要求操作过程快！稳！准！
终于到了设置上机这一步了！
单最后上机检测这个过程就需要个小时，而且仪器一旦启动扩增程序是不能停下来中途添加新的标本的，必须要等这一批的结果扩增完成后，才能进行下一批标本的扩增哦。
所以，这也是为什么核酸检测不能做到随到随测的原因之一，因为仪器一开机就停不下来啊，必须要运行完这个批次才能进行下一批。
以为这样就可以了吗？
除上述之外，在进行每一次检测时，我们还需要加入相应的各种阴性对照，阳性对照，质控，生理盐水对照用以监测此次实验全过程的质量，确保检测结果的可靠及准确。毕竟实验过程太多步骤，存在太多潜在的干扰因素了，所以就需要每批次都要采取这样的措施来确保检测质量。
结果出来后，还需要审核结果核对标本信息结果发放数据传输，等等。理论上一次核酸检测周期至少需要个小时才能出结果，因此检测报告在小时到小时对外发放在线平台查询，但是事实上经常有想不到的事情发生，这两天大量数据涌来，导致网络传输拥堵死机，还有实验操作者疲劳后，效率也会下降。
和衣而睡
疫情当前，所有工作人员取消休息，全力支持核酸检测，做好统筹安排，争取在单位时间内保质保量的到达检测最大量，尽量缩短出结果的时间，您的焦急同样也是检测人员的心事。为大家的绿码，为整个城市的健康，大家都在努力奋斗着
总的来说就是请耐心等待哦，检测人员正在尽最大努力，保证新冠核酸检测结果按时发出哦。
综合检验医学江苏疾控
来源江苏新闻"
注意!参加核酸检测你需要了解这些,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6991604299771937311%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7376a34942bcc163e185a5c2cbe1056cd3631c20810bf0a0fb727f29c535cab06cb08e95fda021a43d3a398a3f7f42142,2021/08/02,"目前，长沙市正在有序开展核酸检测工作，市民在做核酸检测时，要注意哪些事项，才能既迅速又安全地完成检测呢？
一采样前
采样前小时尽量避免进食，不应吸烟饮酒嚼口香糖等，以免频繁吞咽影响咽喉部病毒富集，影响检测结果。
正确佩戴口罩，只有在口咽拭子采样时才能取下口罩采样完毕请立即戴好，可准备一个备用口罩，方便污染后随时更换
请随身携带纸巾，采样中可能会出现不适，如流泪打喷嚏等情况
由于医护人员防护严密，可能听不清讲话，请随身携带身份证，并提前打开健康码，节约时间，提高采样效率。
天气炎热，排队时间相对较长，请听从指挥，自觉保持米以上间隔不交谈，并做好防暑
二采样中
采集鼻咽拭子前，请提前告知采样人员是否有鼻腔手术史鼻中隔弯曲血液病咽喉疾病，或服用抗凝药等相关危险因素采样过程中可能出现鼻部酸痒感，刺激打喷嚏，请立即用纸巾提前备好或手肘遮挡
采集口咽拭子时，请头稍后仰，张口发出啊音采样过程中可能会出现刺激性干咳恶心呕吐等症状，请尽量放松深呼吸
现场采样过程中，请注意手部卫生，不要用手触碰采样台医务人员防护服等，避免污染。
三采样后
采样完后请立即洗手或用免洗手酒精擦拭双手，如需换备用口罩，请将废弃口罩投入指定医疗垃圾桶
采样完后请立即离开采样地点，不要在采样地点周围吐痰呕吐逗留
由于目前核酸检测量非常大，检测报告出具时间可能会延后，请及时关注查询检测结果信息一旦检测结果阳性，请积极配合医疗机构做好后续的排查转运处置等工作。
长沙市有哪些医疗机构能做核酸检测？
目前，长沙市内乡镇卫生院社区卫生服务中心，二级以上综合性医疗卫生机构等固定采样点，均可以开展核酸采样。
为便利市民做核酸检测，长沙市第一医院湖南中医药大学第一附属医院湖南中医药大学第二附属医院湖南省中医院湖南省肿瘤医院等医院还推出了互联网医院核酸检测功能，检测者通过关注各医院的微信公众号，即可实现自助开单，线上缴费，报告查询等。
来源长沙市疾病预防控制中心
来源政法频道"
关于核酸检测，这些你应该知道,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6917507607389274631%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7d1f4fd042f3bb1d6551a958d0549378d226893c606ab036ab46d500982f67fe31b4ca57b762d34414c9c023ed221165f,2021/01/14,"国家卫健委昨日新增确诊例，其中本土例
月日时，个省自治区直辖市和新疆生产建设兵团报告新增确诊病例例，其中境外输入病例例上海例，广东例，北京例，河南例，广西例，本土病例例河北例，黑龙江例新增死亡病例例，为本土病例在河北无新增疑似病例。
中国疾控中心最新判断！
在月日的
国务院联防联控机制新闻发布会上
中国疾控中心表示
江西卫健委关于核酸检测，这些你应该知道
最近多地调整疫情风险等级，部分地区要求有中高风险地区旅居史的人员要进行报备并出示核酸检测证明。核酸检测有哪些注意事项？检测流程是怎样的？做核酸检测会不会疼？这些大家关心的问题，下面统统有答案！
来源江西日报"
