标题,时间,正文
Waterloo Region businesses preparing for vaccine passport rollout,"Sept. 15, 2021 8:04 p.m. CST","
     
     Kitchener - 
     
    
	Businesses in Waterloo Region are expressing mixed opinions about the COVID-19 vaccine certificate program, just over one week before it will officially be rolled out across the province.

	Staff at THEMUSUEM in Kitchener said safety trumps everything and are looking forward to the new rules.

    Advertisement
    
	“We've got to get out of this with vaccinations and if this helps people choose to get vaccinated, that’s a very good thing,” said David Marskell, CEO of THEMUSEUM.
        RELATED STORIES
       Here's how to access a copy of your COVID-19 vaccination receiptThis is where you need and don't need proof of vaccination in OntarioOntario releases new details on how people will prove their COVID-19 vaccine status starting Sept. 22 

	On Tuesday, the province announced more details regarding exceptions to the vaccine passport program.

	Although the announcement did not specifically mention museums, staff at THEMUSEUM said a large part of their business is considered an event space so they will be using vaccine passports.

	Marskell said there will be a learning curve but admitted they are ready for it.

	“It might be a little onerous. We might have to add some staff at the entrance to ensure people are vaccinated,” he said.

	Elsewhere, the St. Marys Golf & Country Club is concerned about staffing when the vaccine passport program comes into effect Sept. 22.

	“It’s once again a burden on the hospitality businesses,” said Matt Staffen, the General Manager at the St. Marys Golf Club.

	The province announced those attending wedding ceremonies or funeral services don’t need to provide proof of vaccination, as long as they aren’t attending any associated social gatherings or reception at the event space. Vaccine passports must be used at receptions.

	St. Marys Golf Club said about 60 per cent of their business is weddings.

	“It’s going to create a significant amount of complication and frustration for our guests,” said Stratten. “When people start showing up, a piece of paper, going to start showing us emails on the phone and that sort of thing, it’s going to make it all very confusing.”

	The province said a QR code that will be shown on phones and an accompanying app should be available by Oct. 22.

	The St. Marys Golf Club manager said he is worried the issue of vaccine passports might turn violent, as they’ve been hearing from concerned residents on the phone.

	“For example, they said I would hate to see a staff member get punched in the face because of because they’re asking for somebody’s health record,” said Stratten.

	At the news conference on Tuesday, Ontario's Health Minister Christine Elliott said if businesses feel threatened by those refusing to produce a vaccine passport, staff should call 911 as soon as possible.

"
Sask. sets another daily COVID-19 record with 506 new cases,"Sept. 15, 2021 5:21 a.m. CST","
     
     REGINA - 
     
    
	Saskatchewan saw another record-setting day for COVID-19 on Tuesday, reporting 506 confirmed cases – 20 per cent of which were children who are not eligible for the COVID-19 vaccine.

	Of the 506 new cases, 436 were unvaccinated, 22 are partially vaccinated and 58 are fully vaccinated.

    Advertisement
    
	The Government of Saskatchewan has started releasing COVID-19 data for youth broken down into two age groups: 0-11 and 12-19.
        RELATED STORIES
       Sask. government issues provincial emergency order to address needs of the health care systemCOVID-19 levels still rising in Saskatoon wastewater: researchersSask. sets record for new daily COVID-19 cases; hospitalizations surpass 200 

	On Tuesday, 101 of the 506 new reported cases were in the 0-11 age group. Children under 12 are not currently eligible to receive a COVID-19 vaccine in Canada.

	Two people died after testing positive for the disease. One death was located in the North West zone while the other was from the Saskatoon zone. According to the province, the deaths were in the 40-59 and 80-plus age groups.

	The new cases are located in the Far North West (12), Far North Central (four), Far North East (64), North West (64), North Central (74), North East (25), Saskatoon (97), Central West (eight), Central East (21), Regina (45), South West (12), South Central (17) and South East (22) zones.

	An additional 41 new cases are pending residence information.

	There are 3,929 are considered active.

	Saskatchewan has 225 people in hospital related to COVID-19 including 43 patients in intensive care. This hospitalization total is the second highest the province has seen throughout the pandemic, having doubled since August.

	The seven-day average of daily new COVID-19 cases is 406, or 33.7 per 100,000 population. The average has risen steadily and sits at its highest point of the pandemic.

	Saskatchewan health care workers have administered 1,503,385 doses of COVID-19 vaccines – up 665 from Monday. There are 709,915 residents fully vaccinated.

	According to the government, a total of 12,461 COVID-19 cases have been identified as variants of concern. Of those cases, 10,825 have been whole genome sequenced; 7,123 are Alpha (B.1.1.7), 3,210 are Delta (B.1.617.2), 482 are Gamma (P.1), and 10 are Beta (B.1.351).

"
Controversial new Medical Officer of Health confirmed in Haldimand-Norfolk,"Sept. 15, 2021 6:49 a.m. CST","
     
     KITCHENER - 
     
    
	The board of health for Haldimand and Norfolk counties has confirmed the appointment of it’s new Acting Medical Officer of Health, despite the controversy that surrounds him.

	The board held a meeting Monday night to make the confirmation and discuss the issues around Dr. Matt Strauss, like his highly critical views on lockdowns as public health measures to fight COVID-19.

    Advertisement
    
	Social media posts from the assistant professor at Queens University, which expressed these opinions, led to calls for his removal as the top doctor in Haldimand and Norfolk.

	""It’s essential in the public health debate to keep an open mind and look at things through different perspectives,” said Norfolk County Mayor Kristal Chopp.

	Tweets from Dr. Strauss, like one at the end of August that read “live free or die,"" have some concerned over the direction he will take for the area.

	""The callous regard for the seriousness of this disease is what gives me pause,"" said Jacob Shelly, a health ethics, law and policy professor at Western University. ""I would like Dr. Strauss to comment on his views on Florida. I would still like to know if he thinks De Santis is a hero for taking that approach because lockdowns maybe are not the solution but there is a lot of evidence that opening up freely without restrictions hasn't worked.""

	“The local medical officer of health does not have the authority to overturn provincial public health orders,” said Chopp. “So how I would reassure my own constituents, if the province decided to issue another lockdown or mask mandate, is that all those things would apply equally here in Haldimand and Norfolk counties.”

	After the lengthy closed session, which included input from legal counsel, the appointment of Dr. Strauss passed eight to one.

	Chopp says she is also not convinced lockdowns are an effective public health policy and welcomes Dr. Strauss and his view.

	“I look forward to someone with Dr. Strauss’ background to be there around the table with the other 34 Medical Officers of Health and, in a fact-based manner, challenge some of those assumptions,” she said.

	Dr. Strauss officially assumes the role Tuesday morning.

	He was expected to address Norfolk County council to explain his vision and the reasons behind the controversial tweets but declined the opportunity until next week.

	In a self-published post, Dr. Strauss stated he has used social media to criticize government policies he disagrees, at times using sarcasm or eye-catching analogies. He says in his new office he won't do this anymore.

	Dr. Strauss also stated if there is a disagreement with government policy in his new role it will be handled professionally and with respect to the authority of the province.

	On Tuesday, Ontario's Chief Medical Officer of Health, Dr. Kieran Moore, made it clear the province will step in if there's an issue.

	""If I have any concerns regarding safety and health of that community, I can step in as the Chief Medical Officer of Health and will,"" he said.

	Dr. Strauss has repeatedly stated he is pro-vaccine, with his critics saying he has the ability to bring the unvaccinated crowd on board.

	""I would like to see Dr. Strauss speak to those who are supporting him, who are maybe ideologically aligned with his views on anti-lockdown but who are also anti-vax passport and anti-mask, because those things we may need in the interim to address COVID,"" Shelly said.

"
Blue Jackets drop assistant coach who won't get vaccinated,"Sept. 14, 2021 7:30 p.m. CST","
     
     COLUMBUS, Ohio - 
     
    
	The Columbus Blue Jackets said Monday that the team has replaced an assistant coach who declined to get a COVID-19 vaccination.

	Sylvain Lefebvre was replaced on coach Brad Larsen's staff by Steve McCarthy because ""Lefebvre has decided not to receive a COVID-19 vaccine and thus will not be able to perform the duties required of him given current NHL protocols,"" according to a team statement.

    Advertisement
    
	NHL coaches and other team staff who closely interact with players are required to be fully vaccinated.
        RELATED STORIES
       Brandon University says Theo Fleury's recent vaccine comments a 'stain on his legacy'MLSE to require proof of vaccination for all events, whether indoors or outdoors

	""While we are disappointed, we respect that this decision is a personal one for Sylvain and wish him well,"" Blue Jackets general manager Jarmo Kekalainen said.

	Lefebvre, a former NHL defensemen and longtime coach in the American Hockey League, was added to the staff in July by Larsen, the former Blue Jackets assistant who replaced the fired John Tortorella.

	McCarthy is a former NHL defensemen who was promoted from the Cleveland Monsters, the team's American Hockey League affiliate, for which he was an assistant coach.

	""Steve has done a great job working with our young defensemen in Cleveland the past five years and is ready for this opportunity,"" Larsen said.

"
Parties look to flip Conservative heavy Brandon-Souris riding,"Sept. 14, 2021 9:29 a.m. CST","
     
     WINNIPEG - 
     
    
	It's the home stretch for federal parties as election day draws closer and candidates in the Brandon-Souris riding are looking to make the most out of the time left.

	Traditionally blue, the Conservatives are looking to hold down the riding, but other parties are hoping to leverage the changing demographic and are keen for an upset.

    Advertisement
    
	Incumbent Conservative candidate Larry Maguire is hitting the federal campaign trail for the fourth time.

	""It's an opportunity to be able to make sure we recover from COVID-19. It's the most important issue we are facing and our plan will take care of it,"" said Maguire.

	A veteran politician, Maguire has spent most of his life in the riding.

	""Well, I grew up from Brandon-Souris about 45 minutes southwest of the city in a little town called Elgin, went to university here. I've farmed here all my life until I got into politics,"" Maguire said.

	Maguire first ran as a Progressive Conservative in 1993. He lost that election and moved to provincial politics, where he served as an MLA for many years.

	Maguire made the switch back to federal politics when he won in the 2013 by-election.

	The second biggest riding in the province, Brandon-Souris offers some challenges.

	According to Curtis Brown, a political researcher at Probe Research, Brandon-Souris has a changing demographic with both rural and urban voters.

	""So there is definitely some more liberal or leftist-centre support provincially,"" noted Brown. ""At times, the NDP won in Brandon itself.""

	Looking to cash in on that support is NDP candidate Whitney Hodgins.

	Hodgins has been a mental health and disability advocate in the area for more than a decade and said she'd champion those issues if elected.

	""Definitely, mental health and disability issues are top priority for me, especially right now in the pandemic. I'm also interested in the economic recovery,"" she said.

	Also on the Brandon-Souris ballot are Liberal candidate Linda Branconnier and PPC candidate Tylor Baer.

	""If you're tired of the status quo, I'd say look into the PPC because we are doing politics differently and intend to serve the people first,"" said Baer, whose platform is based on axing vaccine passports and mandates.

	With election day looming, Brown said the other parties like the PPC will make things more interesting in the riding.

	""The question is whether the PPC might peel off any support from the Conservatives, but they also might get support from people who have voted Green in the past or who just do it as a none of the above sort of thing,"" said Brown.

	According to Brown, the Brandon-Souris riding is also unique in that the Green Party does not have a candidate running for the area.

"
Protest against 'medical tyranny' held outside Calgary hospital  ,"Sept. 14, 2021 9:58 a.m. CST","
     
     CALGARY - 
     
     A group called Canadian Frontline Nurses staged a protest outside Calgary's Foothills Medical Centre Monday.  The protests, taking place across Canada, are in response to what the group claims to be 'medical tyranny and government overreach.' 
    Advertisement
     Organizers say they're against mandating COVID-19 vaccines to members of the public, health-care workers and other workplaces, and believe in restoring freedoms and rights as Canadian citizens. 
        RELATED STORIES
       Dozens attend anti-vaccine protest outside Toronto General Hospital amid widespread condemnationCalgary rally against vaccine mandates and public health restrictions attracts hundredsSchools taking over: Calgary board assumes responsibility for COVID-19 notifications'It's terrifying': Police on hand as pandemic protesters picket hospitalsAmid condemnation from officials, a few dozen protesters rally against vaccine mandates outside Ottawa Hospital   The event was part of what protest attendees refer to as the 'National Health Freedom Movement.'  'WE ARE HEADED FOR CAMPS'  Several hundred protesters rallied outside Foothills Meiccal Centre on Monday, calling for an end to mandated vaccines.  “We know where we are headed as the unvaxxed, we are headed for camps and we’re standing for the freedom of every Canadian,” said protester Trevor Simpson.  Simpson said he believed that everyone has a choice to take the jab or not, but it should not be mandated by governments or workplaces.  He said many healthcare workers are being forced to receive the vaccine.  One woman who attended the protest, did not provide her name, but says she’s a retired unit clerk at FMC.  “They are not allowed to speak, we’re only allowed to say one point of view and I don’t think that’s right,” she said.  “Because in a democracy we should all be able to have a debate and talk about these things.”  Douglas Ferguson said he believes unvaccinated people are being segregated within society.  “You have to comply or you’re ostracized and thrown off to the society and (it)becomes an apartheid society,” said Ferguson.  Registered nurse and nurse educator at Macewan University Elly O’Greysik says now is not the time to be protesting vaccines.  “It causes a lot of anger when you find out that you have an unvaccinated patient,"" she said.  ""It's been really hard to grasp that people have an opportunity to stay well,"" she added, ""and that they're not taking it.""  POLICE STATEMENT  In a statement to CTV, the Calgary Police Service said it was aware of the protests and planned to have officers on site.  “While we respect the rights and freedoms for a peaceful protest, we will not tolerate any actions that impede the entrance or exit of patients or staff,” CPS said in the statement.  “We are working with the protest organizers to lay out these expectations and we are also liaising with AHS as well as staff at the Foothills.""  Alberta Health Services, meanwhile, said it was ""extremely disappointed"" with the protests.  ""We have no tolerance for intimidation or bullying of our patients, AHS staff or physicians, and find such behaviour abhorrent,"" AHS said in a statement to CTV.  ""We are working closely with police and AHS Protective Services to ensure the safety of patients, physicians and staff.  ""Additional Protective Services staff will be at the impacted hospitals to monitor the protests and respond as needed, including supporting staff and patients entering and exiting the facilities.""  AHS said fencing has been put up to protect patients, staff and physicians.  ""Our healthcare workers are doing all they can to care for Albertans, and they deserve the utmost respect and support.  'BLOCKING AN AMBULANCE IS MOST DEFINITELY NOT PEACEFUL PROTEST': KENNEY  Premier Jason Kenney said the right to peaceful protest is not without limits.  In a statement, Kenney said Monday's protests must in no way obstruct the operations of hospital, including the arrival and departure of emergency vehicles and workers.  ""Blocking an ambulance is most definitely not peaceful protest,"" Kenney said.  “In Alberta, local law enforcement is fully empowered to enforce the law in a timely fashion, including the potential use of the Critical Infrastructure Defence Act.    Political opponents are questioning the timing of summer vacations taken by Premier Kenney and Alberta Health Minister Tyler Shandro as they coincide with climbing COVID-19 numbers and rising hospitalizations.  “While Canadians are entitled to peaceful protest, one can still question the appalling judgment of those protesting across the country today.  ""It is outrageous that a small minority feel it’s appropriate to protest at hospitals during the pandemic while our health-care workers continue to tirelessly battle the global menace of COVID-19.”  ""If you oppose masking, vaccinations, or any other measures taken to prevent COVID-19 transmission, that is your right, but to target healthcare workers with anger and vitriol is not acceptable, particularly now,"" AHS said.Alberta Justice Minister Kaycee Madu tweeted his opposition to the protests, adding he expects police to intervene, if necessary.  ""All Canadians have the right to peaceful protest, but I cannot disagree more strongly with those protesting at hospitals today,"" said Madu.      
	  ""I trust law enforcement will take all necessary action to ensure healthcare operations are in no way impeded, up to and including potential use of the Critical Infrastructure Defence Act.""  Protests were also scheduled to take place in Edmonton, Saskatoon, Vancouver, Kelowna, Kamloops, Winnipeg, Toronto and Ottawa.
"
Vaccine card opponents stage another protest outside Vancouver city hall,"Sept. 14, 2021 10:32 a.m. CST","
     
     VANCOUVER - 
     
    
	Opponents of B.C.'s vaccine card system staged another protest outside Vancouver city hall on Monday, hours after the proof-of-vaccination requirement came into effect.

	Hundreds of people gathered outside the building in the early afternoon, some carrying signs reading ""No Medical Apartheid"" and ""My Body, My Choice"" to protest the provincial health officer order barring unvaccinated individuals from non-essential activities such as dining in at restaurants and going to the movies.

    Advertisement
    
	They also took part in chants of ""Freedom!""  COVID-19 in B.C.: 1st case update of the week includes 3 days of dataFull coverage at CTVNews.ca/CoronavirusIs B.C. flooding affecting the province's COVID-19 numbers? Not yet, Health Ministry saysTracking every case of COVID-19 in CanadaFirst cases of Delta sublineage AY.4.2 confirmed in British ColumbiaCoronavirus vaccine tracker: How many people in Canada have received shots?COVID-19 vaccines for younger kids will likely arrive in B.C. before the holidays, province's top doctor saysGet The COVID-19 Brief sent to your inboxB.C. family plans to cross U.S. border to get COVID-19 vaccine for 8-year-old child'Like playing COVID test roulette': B.C. couple on free PCR testing in the U.S.

	The protest was a fraction of the size of an initial demonstration against the vaccine card system that saw thousands crowd around Vancouver General Hospital earlier this month, but had a similar number of attendees to another held last Wednesday.

	Organizers of the so-called ""National Health Freedom Movement,"" which is behind several simultaneous protests planned across the country on Monday, described the event as a silent vigil to honour those affected by measures put in place to slow the spread of COVID-19.

	Participants were encouraged to bring flowers, pictures, cards and letters, and to share stories of loss.

	Earlier in the day, Liberal Leader Justin Trudeau announced that his party, if re-elected, would make it a crime to block access to buildings that provide health-care services or to intimidate the employees who work in those settings.

	“To know that a nurse, going into a late shift, crossing a parking lot, might be afraid that there’s going to be someone there to spit on her or shout obscenities at her – that’s not OK,” Trudeau said during a campaign stop in Vancouver.

	Monday's protest was supposed to take place outside of Vancouver General again, but the group made a last-minute decision to move in the face of public criticism.

	The protestors have claimed to support health-care workers who don't want to be vaccinated, but the overwhelming reaction from those within the sector has been scathing.

	Following the first demonstration, a worker at Kelowna General Hospital went as far as to describe a protest in her city as a ""disgusting, misguided display of disrespect and ignorance.""

	Christina Gower, a psychiatric nurse in Vancouver, told CTV News watching the Sept. 1 demonstration felt like a ""slap in the face,"" and said morale was already an issue with workers stretched thin dealing with the influx of patients during the fourth wave.

	Health Minister Adrian Dix called the protests one of the most frustrating challenges facing officials at this stage in the pandemic.

	""Talking to health-care workers who are dealing with the reality of this situation in our public hospitals in and around the province, it is a time of very, very high risk for COVID-19 for anyone who's unvaccinated. We see this in the numbers. They are staggering,"" Dix said in an interview with CTV Morning Live on Monday.

	""And it's not like people who are demonstrating are also saying, 'Well, we're concerned about vaccination but we're taking care to be masked and so on.' Their approach is not, I think, the right approach.""

	Still, Dix said his approach and that of other health officials is to ""continue to be positive,"" and called the new B.C. vaccine card a part of that strategy. He said the system allows the vast majority of people to continue doing things they couldn’t earlier in the pandemic, such as dining in restaurants, while those who refuse vaccination will simply have to wait.

	Prior to the start of Monday's demonstration, the Vancouver Police Department said it supports the public's right to protest – but that officers will also balance that right with the need to maintain public safety and prevent the blocking of ""critical infrastructure,"" including hospitals.

	""While we support people's right to assemble and express themselves, this doesn't give anybody permission to harass or endanger others, it doesn't give anybody permission to block emergency vehicles or to block people's ability to move around the city,"" Sgt. Steve Addison said.

	""Anybody who breaks the law or endangers these public could be arrested.""

	With files from CTV News Vancouver's Travis Prasad and Penny Daflos

"
"Vancouver Island adds 220 new COVID-19 cases, 2 deaths over weekend","Sept. 14, 2021 7:57 a.m. CST","
     
     Victoria - 
     
    
	Health officials identified 220 new cases of COVID-19 in the Vancouver Island region over the weekend, according to the B.C. Ministry of Health.

	The new cases were among 1,984 cases of COVID-19 found across the province over the past three days, including 823 cases found Saturday, 641 cases identified Sunday and 520 cases reported Monday.

    Advertisement
    
	There are now 5,825 active cases of COVID-19 across B.C., including 607 active cases in the Vancouver Island region, according to the B.C. Ministry of Health.  Tracking every case of COVID-19 in CanadaCoronavirus vaccination tracker: How many people in Canada have received shots?U.S., international scientists say COVID-19 vaccines do not currently 'show a need for boosting''It's terrifying': Police on hand as pandemic protesters picket hospitalsStress, staffing shortages brought on by COVID-19 causing nurses to leave the front lines U.K. approves COVID-19 vaccines for 12-15s, aims to avoid lockdownsA man died after he couldn't get a cardiac ICU bed in 43 U.S. hospitals due to pandemic, family says'Getting these kids back on track:' First Nations adapt to school year lost to COVID-19School starts for 1 million NYC kids amid new vaccine rulesErin O'Toole defends single-dosed candidate's visit to seniors' homeBritain ends contract with French startup for vaccinesMan who spent 21 days in quarantine, tested negative 9 times still brought COVID-19 to China
        RELATED STORIES
       Protest against B.C. vaccine cards held at legislature building in VictoriaVancouver Island adds 90 new COVID-19 cases, tying all-time record

	Island Health identified the locations of 528 active cases Monday, including 210 in the South Island, 249 in the Central Island and 69 in the North Island.

	There were nine more deaths from COVID-19 reported in B.C. on Monday, including two deaths in the Island Health region.

	Since the pandemic began, 1,865 people have died of COVID-19 in B.C., including 56 in the Vancouver Island region.

	Twenty-three people are in hospital with COVID-19 on Vancouver Island, including 16 patients in critical care, according to the BC Centre for Disease Control.

	Meanwhile, a COVID-19 outbreak at the Sunset Lodge care home in Victoria remains active as of Monday.

	Four residents have died of the illness since the outbreak was declared on Aug. 27, while a total of 36 people tested positive for the disease, including 21 residents and 15 staff members.

	There are 24 COVID-19 outbreaks currently active at health-care facilities across the province. The Sunset Lodge outbreak is the only active outbreak in the Island Health region as of Monday.

	As of Monday, 85.8 per cent of British Columbians aged 12 and older have received their first dose of COVID-19 vaccine, while 78.4 per cent have received two doses.

	Between Sept. 3 and Sept. 9, unvaccinated people accounted for 69.2 per cent of the provinces new COVID-19 cases. Partially vaccinated people made up 8.6 per cent of new cases during this time, while fully vaccinated people accounted for 22.2 per cent of the cases.

	NEW HEALTH ORDER

	Provincial health officer Dr. Bonnie Henry announced a new health order Monday that makes vaccination a mandatory condition of employment at all health-care facilities across B.C.

	""This includes all workers, students, physicians, residents, contractors and volunteers who work in a health-care facility, including contracted facilities which are accessible to patients and where they receive services,"" said Henry.

	The requirement takes effect on Oct. 26.

	The provincial health officer also announced that a small group of severely immunocompromised people in B.C. will soon be offered a third dose of COVID-19 vaccine.

	Approximately 15,000 British Columbians will get an invitation by text or email this week to attend a clinic to receive a third dose. The high-risk group includes organ transplant recipients, those being treated for some forms of cancer and those who have received bone marrow or stem cell transplants.

	Henry said 120,000 other British Columbians who are considered moderately immunocompromised may be asked to get a third vaccine dose later this month or in early October.

"
Waterloo Region staff must disclose COVID-19 vaccination status by Sept. 27,"Sept. 14, 2021 6:51 a.m. CST","
     
     KITCHENER - 
     
    
	Staff working for the Region of Waterloo will need to disclose their COVID-19 vaccination status before the end of this month.

	In a news release on Monday morning, regional officials said the disclosure must be made by Sept. 27. Anyone who isn't vaccinated or chooses not to share their vaccination status will need to undergo education on the benefits of COVID-19 vaccination and take part in a rapid antigen testing program.

    Advertisement
    
	“Regional council cares deeply about the health and safety of our staff, clients and residents,” Chair Karen Redman said in a news release. “A vaccine is the best defence against COVID-19 and the Delta variant and we’ve seen high uptake of the vaccine across Waterloo Region. Thanks to walk-in access across multiple locations, it has never been easier to receive a vaccine.”
        RELATED STORIES
       How do I get the coronavirus vaccine in Waterloo Region?

	The policy also includes volunteers and students working with the region. Officials said the goal of the policy is to protect staff members and the community from the spread of the disease.

	“Our staff are the greatest asset we have at the region and we value the critical work each and every employee carries out on a daily basis as we serve this community,” Chief Administrative Officer Bruce Lauckner said. “This policy puts the health and wellbeing of staff first. As we continue to move through a fourth wave of COVID-19 in Waterloo Region, we want to ensure our employees can continue to serve this community safely and effectively.”

	The region has also implemented a number of other safety protocols at its locations, including Plexiglas barriers, hand sanitizing stations, mask protocols and daily self-screening for all staff members.

	Officials with Kitchener and Cambridge said they're working on an employee vaccination policy, and City of Waterloo officials are reviewing the policy released by the region on Monday.

"
"Employees in B.C. long-term care, assisted living facilities must now have at least 1 dose of COVID-19 vaccine","Sept. 13, 2021 11:03 p.m. CST","
     
     VANCOUVER - 
     
    
	As of Monday, all employees of long-term care and assisted living facilities in B.C. are required to have at least one dose of the COVID-19 vaccine.

	The new measure comes into effect as B.C. launches its vaccine card system, under which patrons of non-essential businesses including restaurants and theatres will be required to show proof of vaccination to be allowed entry.

    Advertisement
    
	While workers in those businesses will only be required to have the shot or shots if their employer chooses to make it mandatory, those employed in long-term care or assisted living across the province must now have at least one of the shots.  COVID-19 in B.C.: 1st case update of the week includes 3 days of dataFull coverage at CTVNews.ca/CoronavirusIs B.C. flooding affecting the province's COVID-19 numbers? Not yet, Health Ministry saysTracking every case of COVID-19 in CanadaFirst cases of Delta sublineage AY.4.2 confirmed in British ColumbiaCoronavirus vaccine tracker: How many people in Canada have received shots?COVID-19 vaccines for younger kids will likely arrive in B.C. before the holidays, province's top doctor saysGet The COVID-19 Brief sent to your inboxB.C. family plans to cross U.S. border to get COVID-19 vaccine for 8-year-old child'Like playing COVID test roulette': B.C. couple on free PCR testing in the U.S.

	For now, they're only required to have the first dose, but they'll need to be fully vaccinated by Oct. 12 to continue working.

	The B.C. Care Providers Association says it supports the new vaccine policy, but that the mandate is adding more pressure on the already-struggling health-care system. It says many workers are still refusing to get vaccinated.

	""We are already faced with a labour shortage right across the sector. We know hundreds of employees across B.C. have indicated they do not intend to get vaccinated, and several of those people are talking about leaving their jobs and going to work in the hospitals where there is no requirement to be fully vaccinated,"" said Mike Klassen with the BCCPA.

	Multiple COVID-19 outbreaks at long-term care homes have been reported across province in the last month.

"
Health officials in Prince Edward Island report student is latest COVID-19 case,"Sept. 12, 2021 1:57 a.m. CST","
     
     CHARLOTTETOWN  - 
     
    
	Health officials in Prince Edward Island are reporting one new case of COVID-19 in the province.

	The case involves a student between the ages of 10 and 19 who attends West Royalty Elementary School in Charlottetown.

    Advertisement
    
	Chief public health officer Dr. Heather Morrison says all close contacts of the student, including classmates and staff, will be contacted directly by public health to arrange for testing and will be instructed regarding self-isolation.
        RELATED STORIES
       P.E.I. reports four new COVID-19 cases Friday; active infections rise to 7Nova Scotia to move into Phase 5 on Sept. 15, announces proof of vaccination policyP.E.I. reports one new case of COVID-19 Wednesday, issues flight exposure noticeP.E.I. postpones Phase 5 of reopening plan; two new cases of COVID-19 TuesdayP.E.I. creating additional COVID-19 testing sites as students prepare to head back to school 

	Other students and staff are advised to monitor for symptoms, and the school will undergo a deep cleaning this weekend.

	Prince Edward Island currently has eight active cases of COVID-19.

	As of Wednesday, September 8, 92 per cent of the eligible population has received at least one dose of COVID-19 vaccine and 83.1 per cent has received two doses.

	This report by The Canadian Press was first published Sept. 11, 2021.

"
"Sask. doctor, NDP say the province's new COVID-19 measures don't go far enough","Sept. 12, 2021 12:34 a.m. CST","
     
     REGINA - 
     
    
	The Saskatchewan government introduced new public health measures on Friday aimed at protecting the health care system’s capacity amid surging COVID-19 cases, but some are saying the new orders don’t go far enough to quell the fourth wave sweeping the province.

	The province reinstated a self-isolation order for COVID-19 positive residents and will be reducing some health care services to attempt to lessen the stress on the system. 

    Advertisement
    
	The same day, the province confirmed 432 new cases of COVID-19 – the second highest number on record and highest number in 2021.
        RELATED STORIES
       Sask. reinstates mandatory self-isolation, health care service reductions as COVID-19 cases rise Sask. reports highest count of new COVID-19 cases this year Doctor, teachers’ federation disappointed with lack of COVID-19 measures as cases spike in Sask. schools

	Dr. Alexander Wong, an infectious disease physician in Regina, said the new measures are disappointing.

	“There’s a need for additional restrictions and mandates to be put in place to try and protect our health system,” said Dr. Wong.

	“If we don’t have critical care capacity and you need it…you might not live. That’s the reality of where we’ve at right now.”

	Dr. Wong said residents just have to look over the border to Manitoba to see the impact of public health restrictions like a universal mask mandate and a slightly higher vaccine uptake.

	As of Friday, there are 75 COVID-19 patients in Manitoba hospitals and 539 active cases – compared to Saskatchewan’s 3,573.

	Dr. Wong acknowledged Manitoba had a horrific surge of the virus in in May. Hospitalized patients were sent out of province to Ontario and Saskatchewan at that time, but Dr. Wong said Manitoba might have to soon return the favour to its western neighbours.

	Saskatchewan NDP leader Ryan Meili, who is also a family doctor, said health care workers across the province are exhausted and the new restrictions aren’t enough to bring any relief.

	“We have no serious public health orders in place, and today that didn’t change,” said Meili.

	During a press conference Friday, Premier Scott Moe defended the new restrictions and stood by the province’s vaccine-based strategy.

	“We know that these are only interim measures that will increase out healthcare capacity in the short term, so we must continue to focus our efforts on increasing the efficacy, the availability and the uptake of vaccines,” Moe said.

	“Some of you may be wondering why I'm not imposing broad restrictions and mandates here today and I said before restrictions are a stopgap measure. They were always intended to be temporary, and they were to get us to a point where vaccines are largely available and accessible and they are today.”

	Both Meili and Dr. Wong said the province should implement all of the terms laid out in letter doctors wrote to provincial leaders two weeks ago.

	The letter, which was written on behalf of provincial medical health officers, recommended a universal mask mandate and proof of immunization requirements for non-essential services, along with several other suggestions to combat the spread of COVID-19.

	“[Scott Moe] chose to give up on healthcare workers and ignore their advice,” said Meili.

	“We’re doing the worst and this premier is choosing to do the least in response.”

	Dr. Wong said he will keep pushing for more restrictions to avoid getting to a place where doctors are forced to triage patients and make life and death decisions.

	“I'm not going to sit and speculate as to what the motivations are for these decisions, or lack of decision, that are being made. There's clearly some political component here, which I probably will never understand,” Dr. Wong said.

	“But that doesn't change the reality that I think that we have to continue to push for what we believe and what we know is right, and to just allow, willingly, people to suffer and die is not acceptable.”

	With files from CTV News Regina's Alison MacKinnon

"
